participant,condition,char,RT
OMY_04202025,D_fast,J,403
OMY_04202025,ND_fast,J,763
TCO_03272025,D_fast,J,361
TCO_03272025,ND_fast,J,552
YWG_03262025,D_fast,J,384
YWG_03262025,ND_fast,J,852
AMS_04142025,D_fast,K,410
AMS_04142025,ND_fast,K,775
APM_04072025,D_fast,K,575
APM_04072025,ND_fast,K,806
ARI_04162025,D_fast,K,575
ARI_04162025,ND_fast,K,721
CJG_03242025,D_fast,K,568
CJG_03242025,ND_fast,K,675
CKM_04162025,D_fast,K,430
CKM_04162025,ND_fast,K,721
CLE_03272025,D_fast,K,437
CLE_03272025,ND_fast,K,702
EBZ_04182025,D_fast,K,552
EBZ_04182025,ND_fast,K,802
ESU_04182025,D_fast,K,479
ESU_04182025,ND_fast,K,917
JBO_04172025,D_fast,K,422
JBO_04172025,ND_fast,K,752
JCN_04192025,D_fast,K,468
JCN_04192025,ND_fast,K,775
JMY_03312025,D_fast,K,391
JMY_03312025,ND_fast,K,756
JPK_04182025,D_fast,K,437
JPK_04182025,ND_fast,K,817
JWG_03272025,D_fast,K,506
JWG_03272025,ND_fast,K,675
JXI_04182025,D_fast,K,341
JXI_04182025,ND_fast,K,625
KCA_04072025,D_fast,K,453
KCA_04072025,ND_fast,K,733
KHT_04072025,D_fast,K,510
KHT_04072025,ND_fast,K,963
KSN_04042025,D_fast,K,537
KSN_04042025,ND_fast,K,990
MAO_04192025,D_fast,K,479
MAO_04192025,ND_fast,K,752
MHE_04032025,D_fast,K,479
MHE_04032025,ND_fast,K,882
MSN_04092025,D_fast,K,514
MSN_04092025,ND_fast,K,1051
NMS_04112025,D_fast,K,499
NMS_04112025,ND_fast,K,859
OMY_04202025,D_fast,K,552
OMY_04202025,ND_fast,K,1001
TCO_03272025,D_fast,K,556
TCO_03272025,ND_fast,K,875
YWG_03262025,D_fast,K,430
YWG_03262025,ND_fast,K,763
AMS_04142025,D_fast,N,353
AMS_04142025,ND_fast,N,476
APM_04072025,D_fast,N,418
APM_04072025,ND_fast,N,675
ARI_04162025,D_fast,N,476
ARI_04162025,ND_fast,N,583
CJG_03242025,D_fast,N,403
CJG_03242025,ND_fast,N,882
CKM_04162025,D_fast,N,644
CKM_04162025,ND_fast,N,794
CLE_03272025,D_fast,N,441
CLE_03272025,ND_fast,N,537
EBZ_04182025,D_fast,N,433
EBZ_04182025,ND_fast,N,522
ESU_04182025,D_fast,N,418
ESU_04182025,ND_fast,N,836
JBO_04172025,D_fast,N,426
JBO_04172025,ND_fast,N,560
JCN_04192025,D_fast,N,422
JCN_04192025,ND_fast,N,587
JMY_03312025,D_fast,N,303
JMY_03312025,ND_fast,N,625
JPK_04182025,D_fast,N,318
JPK_04182025,ND_fast,N,403
JWG_03272025,D_fast,N,591
JWG_03272025,ND_fast,N,602
JXI_04182025,D_fast,N,349
JXI_04182025,ND_fast,N,495
KCA_04072025,D_fast,N,345
KCA_04072025,ND_fast,N,648
KHT_04072025,D_fast,N,479
KHT_04072025,ND_fast,N,729
KSN_04042025,D_fast,N,514
KSN_04042025,ND_fast,N,1043
MAO_04192025,D_fast,N,449
MAO_04192025,ND_fast,N,625
MHE_04032025,D_fast,N,744
MHE_04032025,ND_fast,N,928
MSN_04092025,D_fast,N,572
MSN_04092025,ND_fast,N,863
NMS_04112025,D_fast,N,514
NMS_04112025,ND_fast,N,602
OMY_04202025,D_fast,N,491
OMY_04202025,ND_fast,N,767
TCO_03272025,D_fast,N,472
TCO_03272025,ND_fast,N,790
YWG_03262025,D_fast,N,410
YWG_03262025,ND_fast,N,844
AMS_04142025,D_fast,P,318
AMS_04142025,ND_fast,P,771
APM_04072025,D_fast,P,487
APM_04072025,ND_fast,P,798
ARI_04162025,D_fast,P,456
ARI_04162025,ND_fast,P,790
CJG_03242025,D_fast,P,395
CJG_03242025,ND_fast,P,886
CKM_04162025,D_fast,P,541
CKM_04162025,ND_fast,P,752
CLE_03272025,D_fast,P,430
CLE_03272025,ND_fast,P,625
EBZ_04182025,D_fast,P,433
EBZ_04182025,ND_fast,P,602
ESU_04182025,D_fast,P,372
ESU_04182025,ND_fast,P,629
JBO_04172025,D_fast,P,399
